product_id,product_name,category,price
399,Product_118,Clothing,37.76
162,Product_16,Clothing,85.76
456,Product_157,Electronics,27.05
219,Product_351,Clothing,20.21
451,Product_393,Furniture,81.23
59,Product_486,Electronics,51.55
184,Product_314,Electronics,24.61
214,Product_191,Food,24.52
159,Product_403,Clothing,46.99
356,Product_438,Clothing,64.8
248,Product_142,Clothing,21.93
497,Product_43,Furniture,26.69
377,Product_372,Electronics,31.85
124,Product_412,Electronics,55.53
200,Product_30,Electronics,13.15
415,Product_241,Furniture,19.04
68,Product_280,Food,33.89
170,Product_368,Furniture,52.27
71,Product_189,Furniture,41.94
287,Product_328,Clothing,20.58
140,Product_125,Furniture,51.51
388,Product_284,Furniture,82.9
279,Product_203,Food,18.94
485,Product_340,Electronics,64.34
376,Product_451,Clothing,33.26
245,Product_453,Clothing,28.43
42,Product_306,Furniture,76.1
163,Product_448,Clothing,96.22
323,Product_142,Electronics,53.7
198,Product_171,Clothing,69.8
26,Product_261,Food,34.99
417,Product_74,Food,58.45
2,Product_488,Food,99.73
161,Product_488,Clothing,77.52
276,Product_437,Clothing,87.91
260,Product_246,Electronics,26.38
270,Product_446,Electronics,23.42
355,Product_474,Electronics,20.48
52,Product_411,Furniture,83.13
229,Product_299,Food,52.48
69,Product_94,Furniture,70.25
236,Product_5,Clothing,44.17
273,Product_456,Clothing,5.51
212,Product_325,Clothing,71.04
344,Product_303,Furniture,37.7
284,Product_482,Electronics,48.85
340,Product_223,Electronics,12.98
373,Product_265,Food,79.6
414,Product_356,Electronics,5.7
448,Product_6,Furniture,99.01
11,Product_163,Clothing,49.37
405,Product_92,Furniture,46.09
169,Product_183,Electronics,69.89
19,Product_281,Furniture,45.86
386,Product_500,Food,98.23
281,Product_382,Electronics,57.87
229,Product_184,Electronics,55.7
471,Product_230,Clothing,50.05
16,Product_232,Clothing,78.07
13,Product_231,Clothing,19.26
201,Product_253,Clothing,26.23
483,Product_158,Food,53.56
366,Product_222,Electronics,36.13
142,Product_326,Food,96.19
460,Product_2,Electronics,7.02
320,Product_41,Electronics,51.49
27,Product_496,Furniture,46.89
5,Product_366,Electronics,63.5
243,Product_477,Furniture,48.71
450,Product_389,Clothing,36.66
146,Product_180,Electronics,26.73
394,Product_121,Clothing,10.27
296,Product_197,Clothing,67.73
82,Product_9,Clothing,31.66
139,Product_119,Food,94.7
297,Product_109,Clothing,93.82
265,Product_485,Clothing,43.85
6,Product_130,Electronics,95.41
28,Product_93,Clothing,70.26
422,Product_454,Furniture,61.39
153,Product_212,Furniture,37.49
173,Product_282,Clothing,97.22
96,Product_383,Furniture,41.56
474,Product_143,Food,54.52
391,Product_267,Clothing,91.94
310,Product_168,Clothing,25.77
306,Product_311,Furniture,16.07
113,Product_242,Electronics,37.16
34,Product_312,Furniture,90.0
486,Product_429,Food,53.37
171,Product_329,Furniture,55.37
84,Product_353,Furniture,82.57
188,Product_90,Furniture,58.78
170,Product_294,Clothing,16.79
404,Product_169,Electronics,59.77
389,Product_49,Food,63.69
203,Product_406,Food,32.07
206,Product_228,Food,37.38
68,Product_114,Furniture,63.99
161,Product_111,Electronics,65.3
303,Product_491,Furniture,48.74
412,Product_473,Furniture,84.7
300,Product_315,Electronics,48.96
210,Product_427,Furniture,80.67
172,Product_137,Furniture,63.02
259,Product_454,Electronics,13.68
36,Product_412,Electronics,95.16
285,Product_164,Furniture,65.85
455,Product_392,Food,45.9
187,Product_415,Furniture,86.2
7,Product_37,Furniture,62.84
491,Product_154,Clothing,40.91
230,Product_305,Clothing,68.92
228,Product_390,Food,37.43
202,Product_352,Furniture,39.68
499,Product_88,Furniture,35.15
352,Product_442,Food,55.39
185,Product_478,Furniture,70.86
436,Product_376,Furniture,94.12
497,Product_461,Food,24.22
275,Product_98,Furniture,50.4
270,Product_393,Clothing,100.5
291,Product_420,Food,39.63
320,Product_341,Food,24.27
313,Product_202,Electronics,36.99
443,Product_387,Food,46.92
266,Product_271,Food,75.09
270,Product_386,Clothing,23.35
237,Product_223,Food,66.5
158,Product_90,Electronics,11.1
389,Product_322,Food,42.09
206,Product_266,Electronics,90.46
479,Product_358,Food,55.9
180,Product_288,Food,47.91
385,Product_298,Electronics,19.88
138,Product_8,Clothing,6.47
393,Product_161,Furniture,84.16
278,Product_317,Food,71.98
324,Product_70,Electronics,33.63
350,Product_123,Furniture,33.62
361,Product_332,Food,33.06
170,Product_218,Furniture,85.76
299,Product_154,Electronics,60.25
26,Product_312,Electronics,15.72
194,Product_132,Food,57.55
330,Product_201,Food,89.69
356,Product_24,Clothing,47.72
162,Product_408,Furniture,90.49
495,Product_468,Furniture,56.22
459,Product_280,Clothing,22.01
183,Product_123,Furniture,46.83
308,Product_397,Electronics,84.38
123,Product_263,Electronics,97.53
109,Product_53,Food,19.06
404,Product_269,Electronics,31.36
335,Product_344,Clothing,54.8
111,Product_267,Electronics,18.23
485,Product_262,Electronics,62.97
67,Product_307,Furniture,51.08
257,Product_214,Electronics,63.35
92,Product_29,Furniture,44.9
237,Product_239,Furniture,34.82
410,Product_15,Electronics,15.19
191,Product_320,Food,43.3
181,Product_360,Clothing,85.76
222,Product_166,Food,30.79
385,Product_423,Clothing,69.36
379,Product_457,Clothing,77.54
25,Product_101,Clothing,64.77
450,Product_123,Furniture,84.31
313,Product_286,Furniture,9.21
326,Product_419,Clothing,93.63
308,Product_245,Food,76.84
236,Product_262,Furniture,32.36
467,Product_211,Clothing,40.07
224,Product_381,Food,65.52
138,Product_99,Clothing,71.21
162,Product_454,Electronics,65.39
173,Product_485,Clothing,72.52
482,Product_392,Food,78.1
376,Product_101,Clothing,18.27
474,Product_286,Electronics,28.14
275,Product_161,Electronics,96.84
454,Product_445,Furniture,37.24
343,Product_111,Electronics,31.04
326,Product_384,Furniture,56.73
10,Product_215,Food,81.62
93,Product_412,Food,93.73
50,Product_496,Clothing,73.94
441,Product_203,Electronics,69.21
298,Product_470,Clothing,85.02
238,Product_188,Food,39.32
332,Product_183,Electronics,50.64
257,Product_16,Clothing,60.89
225,Product_145,Electronics,60.58
377,Product_451,Clothing,52.71
329,Product_62,Furniture,30.07
12,Product_165,Furniture,6.98
179,Product_470,Food,26.19
55,Product_296,Furniture,12.02
355,Product_449,Electronics,79.71
335,Product_131,Electronics,85.38
58,Product_135,Clothing,95.57
138,Product_94,Electronics,83.67
2,Product_360,Furniture,59.56
65,Product_379,Electronics,70.77
213,Product_290,Furniture,56.22
275,Product_354,Electronics,92.41
256,Product_242,Furniture,51.11
406,Product_421,Clothing,81.97
41,Product_29,Clothing,19.31
187,Product_231,Furniture,6.74
495,Product_174,Food,52.83
346,Product_283,Electronics,40.53
47,Product_457,Furniture,33.02
60,Product_470,Clothing,27.67
71,Product_416,Food,36.13
209,Product_271,Clothing,48.85
489,Product_243,Electronics,57.13
102,Product_10,Food,99.48
489,Product_149,Clothing,71.23
334,Product_125,Furniture,9.48
81,Product_424,Furniture,60.7
88,Product_229,Food,77.79
478,Product_241,Furniture,12.31
14,Product_141,Electronics,26.63
139,Product_333,Clothing,66.34
123,Product_145,Food,49.72
