order_id,order_date,customer_id,total_amount
9446,2022-03-26,77,213.59
9650,2022-05-15,681,21.63
8334,2022-10-17,241,203.76
8637,2022-01-24,468,354.84
9109,2022-12-03,626,164.39
3618,2022-11-08,838,343.29
3032,2022-09-02,932,342.68
6982,2022-10-31,400,213.04
7375,2022-04-27,985,189.52
1837,2022-09-11,635,472.75
9281,2022-07-26,39,75.05
2440,2022-02-22,429,247.73
8728,2022-02-16,907,340.48
9335,2022-03-06,993,270.78
9712,2022-01-08,825,378.74
2634,2022-05-27,115,457.37
7470,2022-08-24,634,392.41
6816,2022-01-20,74,356.93
7020,2022-02-04,435,432.39
7242,2022-09-05,952,378.9
1054,2022-01-18,802,189.03
5725,2022-11-05,436,101.03
8442,2022-02-09,328,21.4
8684,2022-05-29,705,348.07
2114,2022-09-19,536,82.52
7449,2022-01-28,815,98.34
6728,2022-12-30,529,419.74
3419,2022-01-25,843,249.36
2070,2022-12-30,5,350.41
8848,2022-06-01,177,286.31
7284,2022-08-18,583,210.18
9711,2022-12-23,663,24.32
6689,2022-03-14,108,130.87
2912,2022-09-10,912,56.55
9235,2022-09-08,916,156.84
6517,2022-08-10,427,21.76
6382,2022-03-15,293,490.43
1640,2022-11-01,943,291.01
5635,2022-12-15,678,202.36
9919,2022-09-11,293,120.37
8283,2022-12-22,73,487.26
1472,2022-06-15,654,94.6
2171,2022-11-09,79,218.06
8757,2022-09-24,266,339.77
2823,2022-09-25,433,180.22
1085,2022-01-08,92,123.65
8789,2022-09-19,454,37.57
4184,2022-01-03,169,44.26
5011,2022-09-26,465,405.38
4980,2022-10-17,308,163.56
4271,2022-10-30,121,290.34
1857,2022-12-28,261,94.41
4903,2022-06-04,934,423.88
1349,2022-08-21,378,250.64
6249,2022-05-16,844,141.34
3106,2022-09-07,822,296.15
1484,2022-01-06,214,181.75
3750,2022-07-29,526,30.33
7080,2022-02-21,269,77.06
1041,2022-07-03,60,222.84
2525,2022-02-22,577,353.98
5231,2022-06-04,664,467.77
2800,2022-04-27,5,220.81
8092,2022-08-07,675,37.8
2965,2022-04-22,850,489.72
5660,2022-03-10,317,314.03
1609,2022-10-07,723,343.74
3567,2022-05-12,791,253.21
3073,2022-02-05,855,462.65
3554,2022-06-13,771,45.32
2696,2022-01-28,884,231.57
7835,2022-12-31,186,470.53
1723,2022-11-05,218,226.75
1474,2022-05-24,496,203.07
1732,2022-10-26,616,362.56
5152,2022-02-11,422,286.81
2041,2022-07-17,116,85.13
6705,2022-08-12,653,127.19
2764,2022-08-17,235,232.87
9911,2022-05-19,500,431.98
9363,2022-09-14,263,23.76
3733,2022-02-16,993,96.92
9334,2022-02-27,386,232.84
8010,2022-01-09,615,22.48
8928,2022-02-25,920,331.88
1761,2022-09-15,779,405.07
5984,2022-04-18,534,467.94
2396,2022-05-09,813,337.97
6860,2022-10-05,884,217.08
2385,2022-05-24,627,48.13
9536,2022-06-21,707,228.14
5454,2022-02-26,778,133.92
5582,2022-01-05,626,195.64
2235,2022-07-12,682,53.27
4262,2022-01-27,428,408.47
6793,2022-01-28,346,424.24
9962,2022-12-09,256,107.76
7204,2022-09-06,408,33.77
9171,2022-10-05,175,412.45
5286,2022-04-30,73,470.66
6534,2022-08-21,865,251.16
7168,2022-02-12,765,471.8
4940,2022-04-13,948,360.32
6040,2022-03-01,135,413.93
4884,2022-09-01,516,415.18
8664,2022-05-18,781,76.04
9145,2022-11-15,32,344.82
4641,2022-07-14,313,289.13
7366,2022-03-31,731,132.88
8804,2022-03-08,99,132.17
5457,2022-04-14,434,66.07
3465,2022-01-21,196,308.51
3470,2022-04-28,785,169.17
5695,2022-05-20,726,444.17
6354,2022-06-30,371,197.36
1801,2022-05-27,406,343.95
1254,2022-10-21,691,235.67
2090,2022-12-25,649,232.32
5922,2022-07-07,943,363.0
1108,2022-05-01,268,186.69
1114,2022-01-22,865,110.56
2019,2022-06-22,923,451.86
9218,2022-11-26,174,291.88
9025,2022-03-24,866,302.07
1282,2022-02-28,959,308.14
4907,2022-12-18,191,184.27
9286,2022-11-16,459,270.76
3428,2022-12-01,788,356.48
3506,2022-10-14,534,196.34
8559,2022-09-07,477,494.56
