payment_id,order_id,payment_date,payment_amount
163100,1948,2025-04-20,-25.0
969079,5518,2025-04-20,-25.0
302896,5549,2025-04-20,-25.0
603025,2114,2025-04-20,-25.0
637254,2823,2025-04-20,-25.0
803407,1857,2025-04-20,-25.0
650164,3281,2025-04-20,-25.0
825326,3193,2025-04-20,-25.0
555270,9789,2025-04-20,-25.0
405664,8728,2025-04-20,-25.0
634748,7319,2025-04-20,-25.0
958643,7168,2025-04-20,-25.0
465427,9919,2025-04-20,-25.0
650694,4940,2025-04-20,-25.0
297736,2054,2025-04-20,-25.0
231105,6227,2025-04-20,-25.0
850876,9922,2025-04-20,-25.0
901585,3419,2025-04-20,-25.0
525965,1837,2025-04-20,-25.0
140515,2440,2025-04-20,-25.0
919764,2041,2025-04-20,-25.0
225527,2764,2025-04-20,-25.0
261776,2019,2025-04-20,-25.0
624318,5319,2025-04-20,-25.0
114607,5695,2025-04-20,-25.0
547635,9235,2025-04-20,-25.0
302524,1334,2025-04-20,-25.0
953367,9688,2025-04-20,-25.0
427336,1086,2025-04-20,-25.0
796778,6001,2025-04-20,-25.0
382456,3073,2025-04-20,-25.0
992358,9711,2025-04-20,-25.0
316256,9711,2025-04-20,-25.0
261931,8334,2025-04-20,-25.0
520550,6816,2025-04-20,-25.0
316164,7025,2025-04-20,-25.0
864017,9688,2025-04-20,-25.0
157180,3674,2025-04-20,-25.0
728759,1493,2025-04-20,-25.0
343948,4262,2025-04-20,-25.0
871931,2634,2025-04-20,-25.0
779625,9647,2025-04-20,-25.0
414845,3245,2025-04-20,-25.0
837736,2525,2025-04-20,-25.0
587212,3618,2025-04-20,-25.0
731600,9688,2025-04-20,-25.0
952247,4271,2025-04-20,-25.0
578860,7449,2025-04-20,-25.0
256707,3133,2025-04-20,-25.0
136816,5784,2025-04-20,-25.0
811516,6728,2025-04-20,-25.0
335509,4903,2025-04-20,-25.0
225210,8728,2025-04-20,-25.0
138477,5773,2025-04-20,-25.0
486608,7809,2025-04-20,-25.0
577558,3073,2025-04-20,-25.0
880064,1857,2025-04-20,-25.0
711302,4903,2025-04-20,-25.0
794666,9235,2025-04-20,-25.0
413675,6001,2025-04-20,-25.0
845332,2764,2025-04-20,-25.0
133711,7366,2025-04-20,-25.0
118248,7127,2025-04-20,-25.0
414467,1334,2025-04-20,-25.0
265487,9987,2025-04-20,-25.0
768393,7266,2025-04-20,-25.0
372163,4641,2025-04-20,-25.0
702309,5637,2025-04-20,-25.0
395694,9363,2025-04-20,-25.0
662380,5326,2025-04-20,-25.0
801559,5922,2025-04-20,-25.0
223045,6728,2025-04-20,-25.0
936912,1609,2025-04-20,-25.0
149743,2823,2025-04-20,-25.0
244619,3245,2025-04-20,-25.0
964579,4814,2025-04-20,-25.0
339835,6534,2025-04-20,-25.0
647112,4010,2025-04-20,-25.0
837036,7020,2025-04-20,-25.0
480962,6923,2025-04-20,-25.0
529277,9922,2025-04-20,-25.0
658939,1282,2025-04-20,-25.0
889967,8660,2025-04-20,-25.0
995196,2465,2025-04-20,-25.0
459502,3694,2025-04-20,-25.0
340430,5454,2025-04-20,-25.0
345264,1723,2025-04-20,-25.0
313484,7204,2025-04-20,-25.0
753413,9286,2025-04-20,-25.0
654379,6354,2025-04-20,-25.0
385555,7168,2025-04-20,-25.0
869572,9261,2025-04-20,-25.0
601937,9809,2025-04-20,-25.0
878937,8519,2025-04-20,-25.0
123596,8092,2025-04-20,-25.0
807322,1472,2025-04-20,-25.0
476540,3554,2025-04-20,-25.0
856546,4423,2025-04-20,-25.0
940782,9218,2025-04-20,-25.0
147104,6982,2025-04-20,-25.0
502450,7809,2025-04-20,-25.0
872123,9919,2025-04-20,-25.0
411808,2764,2025-04-20,-25.0
469055,4010,2025-04-20,-25.0
428609,1910,2025-04-20,-25.0
212048,7127,2025-04-20,-25.0
971540,9025,2025-04-20,-25.0
333626,8097,2025-04-20,-25.0
755569,7242,2025-04-20,-25.0
373143,1493,2025-04-20,-25.0
670615,7319,2025-04-20,-25.0
357522,4083,2025-04-20,-25.0
376709,4641,2025-04-20,-25.0
657283,2800,2025-04-20,-25.0
208321,1114,2025-04-20,-25.0
894560,5152,2025-04-20,-25.0
795875,3193,2025-04-20,-25.0
115610,7835,2025-04-20,-25.0
440561,5518,2025-04-20,-25.0
