order_item_id,order_id,product_id,quantity,price
91457,6331,458,-3,58.99
94966,2548,140,-3,73.99
21848,4530,420,-3,52.93
58228,1937,5,-3,11.22
10659,1311,363,-3,78.32
71940,5348,336,-3,57.52
66026,3465,403,-3,75.93
15951,1386,250,-3,42.36
49336,3813,23,-3,20.07
12152,3353,118,-3,72.3
46173,2706,273,-3,69.74
28051,9873,322,-3,19.08
50247,6347,266,-3,46.99
28469,2419,174,-3,70.95
49314,9873,59,-3,69.13
37135,1831,54,-3,91.31
56827,6495,70,-3,99.74
29997,5994,289,-3,77.31
17340,2548,251,-3,49.61
45355,3600,307,-3,66.04
92966,2031,75,-3,67.87
20746,2302,280,-3,78.57
33110,1727,211,-3,86.54
10098,1025,4,-3,74.67
59987,8682,29,-3,80.34
67553,2802,321,-3,30.86
49750,7335,235,-3,52.32
23566,8339,369,-3,35.27
88795,1450,103,-3,17.53
74622,4804,489,-3,35.08
77576,3471,323,-3,29.01
27388,2548,73,-3,86.57
98812,1683,368,-3,29.85
30166,9275,170,-3,41.64
49675,3688,324,-3,84.05
98021,6082,30,-3,29.06
81974,2195,403,-3,82.62
46020,5331,440,-3,15.46
63981,7504,72,-3,89.42
86031,2442,281,-3,50.23
95191,6420,401,-3,82.79
94672,3813,150,-3,15.29
16120,3707,14,-3,55.74
32640,9369,249,-3,64.58
77313,4967,481,-3,31.54
18431,5583,39,-3,64.68
93227,4992,385,-3,36.89
42388,4967,97,-3,93.84
59758,4015,397,-3,81.99
82596,2852,65,-3,43.72
84896,1217,375,-3,69.73
12207,4015,317,-3,77.25
72388,8000,497,-3,73.66
27447,6488,323,-3,16.7
36546,9455,55,-3,46.34
97122,7091,446,-3,42.21
66243,3707,28,-3,29.01
81967,8875,23,-3,24.52
83949,1268,59,-3,81.26
77960,6739,422,-3,56.06
49328,3136,133,-3,32.8
29914,6505,192,-3,11.27
63190,4593,358,-3,14.17
73621,1495,227,-3,18.06
56968,1428,326,-3,55.55
89407,6871,99,-3,62.07
22261,4138,10,-3,81.33
59908,9369,281,-3,23.11
28401,5893,157,-3,64.27
54971,2318,154,-3,35.36
96294,8704,346,-3,76.71
74463,3781,394,-3,96.72
85232,6826,4,-3,22.68
41685,6866,240,-3,98.26
50599,2020,420,-3,56.67
45680,2085,385,-3,44.61
77168,3779,266,-3,43.14
92135,6420,252,-3,95.7
17988,6055,395,-3,54.4
97524,8365,33,-3,69.6
53987,6844,129,-3,41.83
39482,7016,249,-3,11.57
56066,3353,80,-3,17.2
25751,2716,100,-3,43.81
25442,7127,142,-3,26.03
88696,6640,17,-3,32.23
16661,2419,481,-3,50.49
86974,7833,349,-3,73.7
84281,2527,310,-3,34.81
92335,6677,22,-3,60.75
76608,2195,51,-3,88.7
11118,4452,122,-3,16.5
67692,1428,488,-3,90.4
38781,9834,463,-3,35.35
63606,3524,448,-3,86.13
73216,5810,208,-3,11.17
88709,7127,122,-3,18.2
64052,9632,85,-3,80.74
67156,7170,2,-3,77.99
14231,5957,56,-3,21.5
92380,8412,46,-3,14.47
80211,3471,299,-3,86.9
64708,1217,494,-3,14.32
66305,4663,299,-3,84.02
90145,2049,11,-3,28.68
32402,3465,21,-3,25.62
14803,9595,37,-3,55.64
95329,2252,260,-3,71.08
16644,8481,178,-3,67.56
63834,2359,352,-3,42.82
12603,2178,441,-3,63.02
46831,9632,116,-3,85.04
62974,9599,393,-3,96.69
35999,8487,491,-3,69.91
11792,9103,3,-3,82.91
46772,5886,455,-3,28.74
38423,5476,329,-3,95.04
52923,9491,475,-3,42.98
32664,2438,38,-3,24.04
54852,9873,184,-3,33.26
57891,5897,476,-3,60.05
