order_id,order_date,customer_id,total_amount
2265,2022-03-07,,312.64
9904,2022-07-18,,282.19
9640,2022-06-22,,149.72
6092,2022-12-06,,-10.0
9847,2022-06-03,,69.31
3828,2022-01-09,,489.69
2005,2022-05-18,,-10.0
9002,2022-05-16,,136.17
1353,2022-12-23,,336.13
6340,2022-08-07,,466.99
8225,2022-10-18,,261.63
9098,2022-04-05,539,-10.0
5579,2022-01-13,,462.99
6384,2022-02-16,596,-10.0
5794,2022-03-01,,-10.0
6259,2022-02-14,,-10.0
3373,2022-08-07,,468.95
4716,2022-09-24,,350.9
9954,2022-12-16,,262.31
4936,2022-02-06,,268.61
4438,2022-11-21,241,-10.0
1208,2022-08-27,,293.4
4270,2022-11-17,,103.47
4685,2022-04-30,518,-10.0
4946,2022-04-24,,105.77
5962,2022-03-24,,72.77
6978,2022-01-28,,47.11
3744,2022-05-17,,-10.0
6080,2022-10-03,237,-10.0
3547,2022-12-16,197,-10.0
1136,2022-10-01,,-10.0
2133,2022-07-01,,-10.0
2010,2022-11-04,,-10.0
7734,2022-08-10,,276.29
1634,2022-06-05,194,-10.0
3112,2022-01-24,,-10.0
6547,2022-06-10,,-10.0
1902,2022-01-18,,-10.0
1603,2022-11-24,,489.25
8325,2022-05-19,,-10.0
7043,2022-01-16,289,-10.0
2780,2022-08-20,,-10.0
8297,2022-01-15,559,-10.0
6348,2022-05-22,,-10.0
2431,2022-01-14,,-10.0
1547,2022-05-30,504,-10.0
7530,2022-09-17,,-10.0
2004,2022-07-12,710,-10.0
5133,2022-12-26,165,-10.0
4615,2022-11-11,,-10.0
2401,2022-02-22,,-10.0
4036,2022-08-02,,-10.0
4175,2022-10-02,742,-10.0
3200,2022-01-04,,103.0
5090,2022-08-02,,-10.0
6651,2022-06-02,90,-10.0
8832,2022-04-26,,53.56
9741,2022-10-20,612,-10.0
8974,2022-01-01,184,-10.0
4340,2022-04-25,,143.29
5645,2022-11-09,,94.32
8023,2022-12-16,,-10.0
1129,2022-03-10,849,-10.0
1993,2022-08-20,,82.5
2621,2022-01-04,,52.75
4520,2022-01-08,519,-10.0
5084,2022-04-27,,-10.0
8351,2022-11-26,82,-10.0
1622,2022-05-28,,-10.0
4984,2022-09-25,,-10.0
1390,2022-01-26,,-10.0
2961,2022-08-09,,-10.0
4521,2022-03-18,,421.97
4548,2022-03-01,,-10.0
2983,2022-06-24,131,-10.0
5720,2022-08-18,,203.88
5661,2022-08-24,512,-10.0
3996,2022-10-09,239,-10.0
2678,2022-05-29,,-10.0
9460,2022-05-06,,-10.0
2948,2022-09-28,,-10.0
4073,2022-10-20,,95.09
4253,2022-08-17,,-10.0
3051,2022-09-08,,172.41
7767,2022-08-28,,-10.0
4269,2022-07-22,,-10.0
1987,2022-03-25,945,-10.0
4456,2022-11-18,174,-10.0
1200,2022-11-12,,267.29
8412,2022-06-27,,189.0
5620,2022-03-28,,-10.0
8055,2022-03-21,276,-10.0
7214,2022-08-06,22,-10.0
4250,2022-05-30,502,-10.0
9410,2022-08-01,,110.97
8236,2022-08-29,,248.24
8938,2022-04-22,,-10.0
4342,2022-04-15,,-10.0
8998,2022-02-12,,75.77
8535,2022-11-01,175,-10.0
7317,2022-05-01,174,-10.0
9736,2022-10-15,,287.76
4049,2022-11-19,,-10.0
6132,2022-08-09,363,-10.0
8773,2022-12-12,,-10.0
8530,2022-10-14,,-10.0
4953,2022-07-11,320,-10.0
2474,2022-06-17,,224.52
2478,2022-08-15,,-10.0
3460,2022-02-09,,24.81
5750,2022-05-30,9,-10.0
9279,2022-03-24,878,-10.0
8621,2022-05-14,,-10.0
2978,2022-03-15,,-10.0
7631,2022-11-01,562,-10.0
9064,2022-03-21,,336.45
6064,2022-10-11,378,-10.0
9252,2022-02-07,,353.89
2738,2022-01-21,706,-10.0
4875,2022-07-06,,-10.0
1790,2022-07-08,,-10.0
4386,2022-08-05,,318.41
2352,2022-02-24,,252.09
7514,2022-07-24,227,-10.0
8541,2022-06-19,,415.37
5992,2022-02-22,,390.4
5040,2022-08-08,638,-10.0
8824,2022-09-07,,178.46
3054,2022-06-09,,-10.0
4514,2022-12-24,,445.98
6806,2022-07-17,,-10.0
9892,2022-12-16,,-10.0
9522,2022-03-18,407,-10.0
2013,2022-06-29,,144.98
2776,2022-01-29,876,-10.0
2347,2022-11-23,600,-10.0
6640,2022-12-21,173,-10.0
1678,2022-08-14,,-10.0
8643,2022-07-16,,-10.0
8935,2022-11-24,,365.69
5871,2022-12-31,,139.29
6794,2022-01-14,842,-10.0
2625,2022-12-16,666,-10.0
2627,2022-09-30,,426.35
8625,2022-01-03,572,-10.0
8151,2022-06-28,,-10.0
5903,2022-03-03,,-10.0
9225,2022-03-04,458,-10.0
7684,2022-05-17,244,-10.0
1214,2022-11-17,,-10.0
5021,2022-08-24,559,-10.0
