order_item_id,order_id,product_id,quantity,price
85356,6384,340,7,42.82
58052,6384,109,1,81.27
45223,5170,386,8,67.24
59984,9380,46,10,59.02
78946,4967,289,5,70.62
32458,5771,291,1,81.47
58997,3136,11,6,5.72
69561,7564,365,5,61.36
88913,7127,208,7,8.07
57075,9369,124,8,95.61
58422,5308,320,6,53.79
90090,3465,333,9,46.38
10326,9626,8,10,12.54
39697,4530,404,2,89.74
70197,2527,285,3,43.19
74000,4138,163,5,32.16
42073,7876,289,2,70.22
29464,9934,349,9,18.14
41281,9934,397,6,37.96
91303,3688,83,6,12.64
76273,2359,454,3,71.07
37198,3929,123,9,85.43
21168,3707,133,1,21.82
47861,6739,354,4,69.86
10322,1150,142,5,62.9
15140,5732,277,8,94.48
62055,4532,335,1,80.0
61992,3929,365,3,62.07
74846,9380,229,2,12.87
57159,3136,237,9,100.09
32841,9809,259,9,35.25
55254,9275,139,9,49.15
20067,5170,80,1,30.71
33244,2716,296,4,89.15
22188,4837,359,8,33.34
65702,5803,218,3,91.3
66029,4837,157,5,36.29
46765,7021,257,3,60.92
62152,6055,392,8,13.95
25757,5947,258,1,90.68
81135,8139,150,7,53.48
49914,6072,319,10,61.02
88507,3332,250,1,100.46
21554,1897,320,8,31.95
68773,5883,61,7,47.98
88077,6725,196,3,24.87
86718,2240,150,8,29.66
27508,2408,248,7,28.42
60130,7581,26,6,66.1
23919,9380,451,4,57.96
38741,3779,483,3,31.56
69194,8632,14,10,15.5
67994,5787,133,5,65.92
48667,7335,411,5,37.67
51141,1396,171,10,34.78
66592,9733,340,4,69.34
48377,4166,352,6,30.12
88065,8308,208,5,41.84
30588,5348,276,7,9.71
62142,1025,267,8,47.97
97552,6505,112,10,15.18
76584,6552,44,10,20.39
80376,6505,478,3,92.98
22588,9834,452,10,19.83
74416,6725,85,1,92.12
40670,6640,59,7,64.34
19778,1214,280,7,39.45
78228,1311,295,7,41.08
41894,1444,18,1,69.45
94004,6303,483,2,25.23
99091,7043,171,6,34.74
39875,1707,399,1,15.95
58445,5529,444,7,95.85
93153,6055,177,6,36.91
12897,5627,336,5,97.33
79180,5458,351,10,41.44
64073,4655,467,5,82.29
11030,8875,223,6,71.43
84206,3813,490,6,85.14
98202,8901,187,2,63.72
45386,7504,265,5,20.36
23508,2318,286,4,55.17
